day,date,open,high,low,close,volume
282,2/12/2021,121,121.36,120.09,120.8,3868288
283,2/16/2021,120.15,120.6,119.36,120.07,6637388
284,2/17/2021,119.27,120.56,119.02,119.97,3973634
285,2/18/2021,120.5,120.94,119.7,120.73,5397682
286,2/19/2021,120.75,120.76,118.38,118.99,6575150
287,2/22/2021,118.5,121.125,118.44,120.86,5877237
288,2/23/2021,120.92,121.35,119.8,120.71,4530728
289,2/24/2021,120.8,123.49,120.52,123.21,5816295
290,2/25/2021,123.37,124.35,122.335,122.47,5683802
291,2/26/2021,122.25,122.25,118.88,118.93,9043627
292,3/1/2021,120.35,122.32,119.8649,120.74,5714536
293,3/2/2021,120.74,121.9,120.26,120.33,4522212
294,3/3/2021,120.5,122.634,119.98,122.36,7395412
295,3/4/2021,122,123.22,118.755,120.11,8061586
